Universityname,uid,Location ,Fee,GRE,IELTS,TOEFL,Percentage,Y/N
Arizona State University,1,Arizona,24604,311,8.0,104,79,0
Arizona State University,1,Arizona,24604,296,7.5,86,83,1
Arizona State University,1,Arizona,24604,340,9.0,116,86,0
Arizona State University,1,Arizona,24604,334,8.0,80,60,1
Arizona State University,1,Arizona,24604,312,5.0,93,87,1
Arizona State University,1,Arizona,24604,294,9.0,98,61,1
Arizona State University,1,Arizona,24604,301,6.5,104,71,1
Arizona State University,1,Arizona,24604,317,7.5,103,71,1
Arizona State University,1,Arizona,24604,292,5.5,115,77,1
Arizona State University,1,Arizona,24604,291,9.0,100,77,1
Arizona State University,1,Arizona,24604,316,7.5,72,85,1
Arizona State University,1,Arizona,24604,320,8.5,82,87,1
Arizona State University,1,Arizona,24604,305,9.0,88,61,0
Arizona State University,1,Arizona,24604,325,7.5,71,65,0
University of California-Irvine,2,California,31318,305,5.0,89,80,0
University of California-Irvine,2,California,31318,329,6.0,83,70,1
University of California-Irvine,2,California,31318,299,8.5,117,83,1
University of California-Irvine,2,California,31318,290,9.0,101,93,1
University of California-Irvine,2,California,31318,334,9.0,93,68,0
University of California-Irvine,2,California,31318,332,5.0,119,79,0
University of California-Irvine,2,California,31318,327,9.0,79,94,1
University of California-Irvine,2,California,31318,308,7.5,114,92,0
University of California-Irvine,2,California,31318,336,8.5,102,76,0
University of California-Irvine,2,California,31318,335,8.5,91,62,1
University of California-Irvine,2,California,31318,314,6.5,99,92,0
University of California-Irvine,2,California,31318,290,7.0,73,76,0
University of California-Irvine,2,California,31318,339,8.0,113,72,1
University of California-Irvine,2,California,31318,308,6.5,97,76,0
University of California-Irvine,2,California,31318,294,5.5,96,91,0
University of California-Irvine,2,California,31318,322,5.5,90,74,1
University of California-Irvine,2,California,31318,293,6.0,106,67,0
University of California-Irvine,2,California,31318,295,7.5,104,85,1
University of California-Irvine,2,California,31318,293,6.0,119,81,0
University of California-Irvine,2,California,31318,325,6.5,119,62,1
University of California-Irvine,2,California,31318,316,9.0,118,74,0
University of California-Irvine,2,California,31318,311,8.0,75,75,1
University of California-Irvine,2,California,31318,330,6.0,97,75,1
University of California-Irvine,2,California,31318,335,8.0,97,92,0
University of California-Irvine,2,California,31318,331,8.5,103,83,0
University of California-Irvine,2,California,31318,305,7.0,95,83,1
University of California-Irvine,2,California,31318,334,9.0,111,91,1
University of California-Irvine,2,California,31318,305,8.5,106,89,1
University of California-Irvine,2,California,31318,292,5.0,106,92,1
University of California-Irvine,2,California,31318,331,7.0,119,94,1
University of California-Irvine,2,California,31318,322,6.0,116,83,0
University of California-Irvine,2,California,31318,314,8.5,107,92,0
University of California-Irvine,2,California,31318,295,5.5,94,79,1
University of California-Irvine,2,California,31318,336,5.5,84,64,1
University of California-Irvine,2,California,31318,294,9.0,115,79,0
University of California-Irvine,2,California,31318,292,6.0,106,66,1
University of California-Irvine,2,California,31318,317,8.5,77,73,0
University of California-Irvine,2,California,31318,320,8.5,92,81,1
University of California-Irvine,2,California,31318,336,8.0,77,74,1
University of California-Irvine,2,California,31318,308,6.0,81,75,0
University of California-Irvine,2,California,31318,303,5.5,110,87,0
University of California-Irvine,2,California,31318,316,7.5,71,77,1
University of California-Irvine,2,California,31318,311,7.5,114,91,1
University of California-Irvine,2,California,31318,325,5.0,92,65,0
University of California-Irvine,2,California,31318,294,8.0,108,73,1
University of California-Irvine,2,California,31318,308,5.5,120,86,0
University of California-Irvine,2,California,31318,305,6.0,104,85,0
University of California-Irvine,2,California,31318,309,7.0,71,62,0
University of California-Irvine,2,California,31318,333,8.0,84,90,0
University of California-Irvine,2,California,31318,323,7.5,105,73,1
University of California-Irvine,2,California,31318,292,6.5,70,76,0
University of California-Irvine,2,California,31318,335,9.0,92,80,0
University of California-Irvine,2,California,31318,295,9.0,82,65,1
University of California-Irvine,2,California,31318,306,6.0,100,61,1
University of California-Irvine,2,California,31318,332,8.5,107,81,1
University of California-Irvine,2,California,31318,335,7.0,110,84,0
University of California-Irvine,2,California,31318,335,8.5,116,63,0
University of California-Irvine,2,California,31318,302,6.0,74,77,0
University of California-Irvine,2,California,31318,315,6.0,94,61,1
University of California-Irvine,2,California,31318,326,5.0,117,77,0
University of California-Irvine,2,California,31318,328,7.0,99,93,0
University of California-Irvine,2,California,31318,290,7.0,90,82,0
University of California-Irvine,2,California,31318,314,8.5,116,88,0
University of California-Irvine,2,California,31318,295,6.0,84,83,0
University of California-Irvine,2,California,31318,291,8.5,81,66,1
University of California-Irvine,2,California,31318,327,7.0,82,65,0
University of California-Irvine,2,California,31318,314,6.0,117,78,0
University of California-Irvine,2,California,31318,295,5.0,81,69,1
University of California-Irvine,2,California,31318,338,6.5,117,71,0
University of California-Irvine,2,California,31318,325,8.5,96,67,0
University of California-Irvine,2,California,31318,317,8.5,82,75,0
University of California-Irvine,2,California,31318,331,9.0,73,91,0
University of California-Irvine,2,California,31318,301,8.5,94,91,0
University of California-Irvine,2,California,31318,332,8.0,117,75,0
University of California-Irvine,2,California,31318,318,5.0,100,67,0
University of California-Irvine,2,California,31318,320,6.5,88,78,1
University of California-Irvine,2,California,31318,302,5.5,114,69,0
University of California-Irvine,2,California,31318,331,8.5,78,80,1
University of California-Irvine,2,California,31318,308,8.5,108,74,1
University of California-Irvine,2,California,31318,303,7.5,101,67,0
University of California-Irvine,2,California,31318,336,7.0,114,93,1
University of California-San Diego,3,California,31081,320,8.5,80,67,0
University of California-San Diego,3,California,31081,292,8.5,84,67,0
University of California-San Diego,3,California,31081,295,5.0,75,85,1
University of California-San Diego,3,California,31081,339,7.0,118,88,0
University of California-San Diego,3,California,31081,339,7.0,106,60,0
University of California-San Diego,3,California,31081,299,8.0,107,90,1
University of California-San Diego,3,California,31081,303,9.0,81,84,0
University of California-San Diego,3,California,31081,330,5.0,71,63,0
University of California-San Diego,3,California,31081,337,6.5,116,93,1
University of California-San Diego,3,California,31081,336,5.5,77,95,0
University of California-San Diego,3,California,31081,324,7.5,118,67,1
University of California-San Diego,3,California,31081,337,8.0,91,62,0
University of California-San Diego,3,California,31081,293,7.0,71,69,0
University of California-San Diego,3,California,31081,333,6.5,84,68,1
University of California-San Diego,3,California,31081,331,8.5,72,63,0
University of California-San Diego,3,California,31081,338,9.0,75,90,0
University of California-San Diego,3,California,31081,333,9.0,120,83,1
University of California-San Diego,3,California,31081,294,5.5,108,74,0
University of California-San Diego,3,California,31081,337,7.5,91,90,1
University of California-San Diego,3,California,31081,298,7.5,79,73,0
University of California-San Diego,3,California,31081,323,7.0,83,94,1
University of California-San Diego,3,California,31081,318,9.0,93,71,1
University of California-San Diego,3,California,31081,308,6.0,109,92,0
University of California-San Diego,3,California,31081,292,8.5,108,86,0
University of California-San Diego,3,California,31081,339,8.5,79,65,1
University of California-San Diego,3,California,31081,290,7.5,89,86,0
University of California-San Diego,3,California,31081,331,7.0,99,69,0
University of California-San Diego,3,California,31081,318,7.0,105,61,0
University of California-San Diego,3,California,31081,330,6.0,72,70,0
University of California-San Diego,3,California,31081,296,7.5,86,83,0
University of California-San Diego,3,California,31081,340,7.0,80,92,0
University of California-San Diego,3,California,31081,333,5.5,91,71,0
University of California-San Diego,3,California,31081,306,8.5,113,84,0
University of California-San Diego,3,California,31081,333,8.0,89,86,1
University of California-San Diego,3,California,31081,298,7.0,82,79,1
University of California-San Diego,3,California,31081,340,6.0,96,85,1
University of California-San Diego,3,California,31081,300,8.5,111,78,1
University of California-San Diego,3,California,31081,322,5.0,86,75,0
University of California-San Diego,3,California,31081,293,6.0,89,85,0
University of California-San Diego,3,California,31081,306,6.0,93,71,0
University of California-San Diego,3,California,31081,315,5.5,83,66,0
University of California-San Diego,3,California,31081,324,8.5,118,77,1
University of California-San Diego,3,California,31081,327,5.5,99,90,1
University of California-San Diego,3,California,31081,301,6.0,102,71,0
University of California-San Diego,3,California,31081,290,6.5,102,73,0
University of California-San Diego,3,California,31081,328,8.0,71,80,1
University of California-San Diego,3,California,31081,317,6.0,99,79,0
University of California-San Diego,3,California,31081,337,9.0,81,63,0
University of California-San Diego,3,California,31081,337,6.0,76,93,1
University of California-San Diego,3,California,31081,317,9.0,81,90,1
University of California-San Diego,3,California,31081,311,5.0,89,65,0
University of California-San Diego,3,California,31081,319,8.5,84,61,0
University of California-San Diego,3,California,31081,330,6.5,91,76,1
University of California-San Diego,3,California,31081,290,7.0,82,85,0
University of California-San Diego,3,California,31081,338,8.0,71,68,1
University of California-San Diego,3,California,31081,334,8.5,89,69,0
University of California-San Diego,3,California,31081,303,7.5,101,94,1
University of California-San Diego,3,California,31081,300,6.0,102,71,0
University of California-San Diego,3,California,31081,317,8.5,74,82,0
University of California-San Diego,3,California,31081,306,7.0,100,76,0
University of California-San Diego,3,California,31081,292,5.0,104,61,1
University of California-San Diego,3,California,31081,326,6.0,94,63,1
University of California-San Diego,3,California,31081,339,8.5,81,86,1
University of California-San Diego,3,California,31081,294,7.0,95,79,1
University of California-San Diego,3,California,31081,303,6.0,78,63,1
University of California-San Diego,3,California,31081,330,7.5,73,60,0
University of California-San Diego,3,California,31081,337,5.0,75,89,1
University of California-San Diego,3,California,31081,337,6.0,81,75,1
University of California-San Diego,3,California,31081,330,7.5,115,82,1
University of California-San Diego,3,California,31081,325,5.5,118,75,1
University of California-San Diego,3,California,31081,326,8.5,85,94,1
University of California-San Diego,3,California,31081,336,8.0,75,72,0
University of California-San Diego,3,California,31081,335,6.0,90,85,1
University of California-San Diego,3,California,31081,336,5.0,114,91,1
University of California-San Diego,3,California,31081,323,6.5,70,65,1
University of California-San Diego,3,California,31081,313,6.5,79,87,1
University of California-San Diego,3,California,31081,326,5.5,111,79,1
University of California-San Diego,3,California,31081,318,8.5,119,68,0
University of California-San Diego,3,California,31081,340,7.0,116,66,0
University of California-San Diego,3,California,31081,320,7.5,102,76,0
University of California-San Diego,4,California,31081,290,6.5,83,87,1
University of Colorado- Boulder,4,Colorado,36913,316,7.5,102,66,0
University of Colorado- Boulder,4,Colorado,36913,319,6.5,95,71,0
University of Colorado- Boulder,4,Colorado,36913,308,5.0,93,63,0
University of Colorado- Boulder,4,Colorado,36913,303,8.5,99,77,1
University of Colorado- Boulder,4,Colorado,36913,305,9.0,95,73,0
University of Colorado- Boulder,4,Colorado,36913,327,6.5,82,74,0
University of Colorado- Boulder,4,Colorado,36913,330,6.5,114,75,0
University of Colorado- Boulder,4,Colorado,36913,338,9.0,115,69,0
University of Colorado- Boulder,4,Colorado,36913,298,6.0,89,85,0
University of Colorado- Boulder,4,Colorado,36913,322,5.0,82,89,0
University of Colorado- Boulder,4,Colorado,36913,306,7.0,89,67,0
University of Colorado- Boulder,4,Colorado,36913,321,5.0,96,76,0
University of Colorado- Boulder,4,Colorado,36913,311,6.5,99,81,0
University of Colorado- Boulder,4,Colorado,36913,303,8.5,89,94,1
University of Colorado- Boulder,4,Colorado,36913,311,8.0,105,81,1
University of Colorado- Boulder,4,Colorado,36913,331,8.5,112,61,0
University of Colorado- Boulder,4,Colorado,36913,321,5.0,79,80,1
University of Colorado- Boulder,4,Colorado,36913,335,8.5,77,65,0
University of Colorado- Boulder,4,Colorado,36913,333,8.5,108,90,0
University of Colorado- Boulder,4,Colorado,36913,308,6.5,86,82,0
University of Colorado- Boulder,4,Colorado,36913,302,6.5,95,69,0
University of Colorado- Boulder,4,Colorado,36913,295,5.0,116,76,1
University of Colorado- Boulder,4,Colorado,36913,313,8.5,71,95,0
University of Colorado- Boulder,4,Colorado,36913,335,6.5,78,84,1
University of Colorado- Boulder,4,Colorado,36913,308,7.5,95,61,1
University of Colorado- Boulder,4,Colorado,36913,319,6.5,105,77,0
University of Colorado- Boulder,4,Colorado,36913,315,6.5,91,82,1
University of Colorado- Boulder,4,Colorado,36913,326,8.5,85,71,0
University of Colorado- Boulder,4,Colorado,36913,293,8.0,80,66,1
University of Colorado- Boulder,4,Colorado,36913,295,5.5,106,88,0
University of Colorado- Boulder,4,Colorado,36913,321,7.0,86,84,0
University of Colorado- Boulder,4,Colorado,36913,313,6.5,84,76,1
University of Colorado- Boulder,4,Colorado,36913,304,5.5,120,92,0
University of Colorado- Boulder,4,Colorado,36913,328,7.5,71,86,1
University of Colorado- Boulder,4,Colorado,36913,322,8.5,117,93,1
University of Colorado- Boulder,4,Colorado,36913,338,5.5,100,71,1
University of Colorado- Boulder,4,Colorado,36913,306,6.0,89,76,0
University of Colorado- Boulder,4,Colorado,36913,304,8.5,86,60,1
University of Colorado- Boulder,4,Colorado,36913,291,6.5,108,94,0
University of Colorado- Boulder,4,Colorado,36913,305,8.5,84,75,1
University of Colorado- Boulder,4,Colorado,36913,340,7.0,83,68,0
University of Colorado- Boulder,4,Colorado,36913,308,8.0,116,80,1
University of Colorado- Boulder,4,Colorado,36913,312,6.5,81,83,1
University of Colorado- Boulder,4,Colorado,36913,314,7.5,115,95,0
University of Colorado- Boulder,4,Colorado,36913,311,5.0,86,61,0
University of Colorado- Boulder,4,Colorado,36913,294,9.0,85,86,0
University of Colorado- Boulder,4,Colorado,36913,296,9.0,92,81,1
University of Colorado- Boulder,4,Colorado,36913,301,7.0,80,90,1
University of Colorado- Boulder,4,Colorado,36913,298,6.5,116,66,1
University of Colorado- Boulder,4,Colorado,36913,298,7.0,71,84,1
University of Colorado- Boulder,4,Colorado,36913,336,5.5,118,87,0
University of Colorado- Boulder,4,Colorado,36913,322,6.0,77,92,0
University of Colorado- Boulder,4,Colorado,36913,328,7.0,99,67,0
University of Colorado- Boulder,4,Colorado,36913,329,8.0,94,77,0
University of Colorado- Boulder,4,Colorado,36913,293,7.5,70,89,1
University of Colorado- Boulder,4,Colorado,36913,300,7.0,95,75,1
University of Colorado- Boulder,4,Colorado,36913,340,8.5,75,89,0
University of Colorado- Boulder,4,Colorado,36913,291,9.0,79,94,1
University of Colorado- Boulder,4,Colorado,36913,321,9.0,74,85,1
University of Colorado- Boulder,4,Colorado,36913,303,7.0,89,90,0
University of Colorado- Boulder,4,Colorado,36913,321,7.0,105,76,1
University of Colorado- Boulder,4,Colorado,36913,304,5.0,112,65,0
University of Colorado- Boulder,4,Colorado,36913,305,8.0,92,90,1
University of Colorado- Boulder,4,Colorado,36913,316,6.0,85,80,1
University of Colorado- Boulder,4,Colorado,36913,306,6.5,94,78,0
University of Colorado- Boulder,4,Colorado,36913,328,6.0,89,79,1
University of Colorado- Boulder,4,Colorado,36913,321,8.5,111,75,0
University of Colorado- Boulder,4,Colorado,36913,302,5.5,71,66,0
University of Colorado- Boulder,4,Colorado,36913,316,7.0,79,61,0
University of Colorado- Boulder,4,Colorado,36913,306,8.5,84,85,1
University of Colorado- Boulder,4,Colorado,36913,317,9.0,103,64,0
University of Colorado- Boulder,4,Colorado,36913,304,9.0,102,69,1
University of Colorado- Boulder,4,Colorado,36913,309,8.5,87,75,1
University of Colorado- Boulder,4,Colorado,36913,293,7.5,117,80,1
University of Colorado- Boulder,4,Colorado,36913,294,7.0,89,72,0
University of Colorado- Boulder,4,Colorado,36913,301,7.0,72,91,1
University of Colorado- Boulder,4,Colorado,36913,293,6.0,111,89,1
University of Colorado- Boulder,4,Colorado,36913,312,7.0,75,91,0
University of Colorado- Boulder,4,Colorado,36913,294,5.0,98,72,0
University of Colorado- Boulder,4,Colorado,36913,334,6.0,107,88,1
University of Colorado- Boulder,5,Colorado,36913,332,8.5,98,61,0
University of Florida- Gainesville,5,Florida,30130,306,6.5,114,72,0
University of Florida- Gainesville,5,Florida,30130,303,8.5,111,78,1
University of Florida- Gainesville,5,Florida,30130,295,8.5,82,69,0
University of Florida- Gainesville,5,Florida,30130,339,5.0,118,87,1
University of Florida- Gainesville,5,Florida,30130,303,8.5,72,92,0
University of Florida- Gainesville,5,Florida,30130,304,5.0,111,92,1
University of Florida- Gainesville,5,Florida,30130,340,8.5,74,94,0
University of Florida- Gainesville,5,Florida,30130,292,8.5,106,67,0
University of Florida- Gainesville,5,Florida,30130,308,5.5,113,93,1
University of Florida- Gainesville,5,Florida,30130,321,9.0,71,66,0
University of Florida- Gainesville,5,Florida,30130,334,5.0,91,73,0
University of Florida- Gainesville,5,Florida,30130,313,8.0,89,73,0
University of Florida- Gainesville,5,Florida,30130,290,6.0,102,93,1
University of Florida- Gainesville,5,Florida,30130,314,8.0,70,86,1
University of Florida- Gainesville,5,Florida,30130,295,8.5,108,62,0
University of Florida- Gainesville,5,Florida,30130,329,5.0,113,78,0
University of Florida- Gainesville,5,Florida,30130,302,5.0,111,80,1
University of Florida- Gainesville,5,Florida,30130,318,7.5,85,77,1
University of Florida- Gainesville,5,Florida,30130,325,9.0,86,60,0
University of Florida- Gainesville,5,Florida,30130,320,7.0,86,69,0
University of Florida- Gainesville,5,Florida,30130,312,8.0,79,82,0
University of Florida- Gainesville,5,Florida,30130,315,8.0,119,62,0
University of Florida- Gainesville,5,Florida,30130,329,5.5,99,80,0
University of Florida- Gainesville,5,Florida,30130,340,8.0,99,92,0
University of Florida- Gainesville,5,Florida,30130,336,9.0,73,75,1
University of Florida- Gainesville,5,Florida,30130,323,6.5,105,85,1
University of Florida- Gainesville,5,Florida,30130,304,5.0,88,63,0
University of Florida- Gainesville,5,Florida,30130,317,6.5,72,90,0
University of Florida- Gainesville,5,Florida,30130,317,6.0,84,76,0
University of Florida- Gainesville,5,Florida,30130,329,8.5,100,85,1
University of Florida- Gainesville,5,Florida,30130,330,5.5,92,93,0
University of Florida- Gainesville,5,Florida,30130,329,8.0,98,74,0
University of Florida- Gainesville,5,Florida,30130,306,8.0,82,89,0
University of Florida- Gainesville,5,Florida,30130,298,6.5,76,94,0
University of Florida- Gainesville,5,Florida,30130,340,8.5,79,63,0
University of Florida- Gainesville,5,Florida,30130,333,6.0,108,84,0
University of Florida- Gainesville,5,Florida,30130,308,7.5,85,76,0
University of Florida- Gainesville,5,Florida,30130,302,6.5,111,71,0
University of Florida- Gainesville,5,Florida,30130,323,8.0,100,63,1
University of Florida- Gainesville,5,Florida,30130,306,5.0,90,81,0
University of Florida- Gainesville,5,Florida,30130,310,8.5,79,85,0
University of Florida- Gainesville,5,Florida,30130,320,7.0,74,86,0
University of Florida- Gainesville,5,Florida,30130,314,9.0,92,81,0
University of Florida- Gainesville,5,Florida,30130,314,9.0,104,67,0
University of Florida- Gainesville,5,Florida,30130,301,7.5,109,77,1
University of Florida- Gainesville,5,Florida,30130,314,8.5,108,60,0
University of Florida- Gainesville,5,Florida,30130,329,5.0,116,68,1
University of Florida- Gainesville,5,Florida,30130,338,5.5,89,62,1
University of Florida- Gainesville,5,Florida,30130,297,6.0,95,89,1
University of Florida- Gainesville,5,Florida,30130,331,7.5,118,65,0
University of Florida- Gainesville,5,Florida,30130,338,8.0,84,93,0
University of Florida- Gainesville,5,Florida,30130,334,7.0,80,94,0
University of Florida- Gainesville,5,Florida,30130,297,5.5,111,73,1
University of Florida- Gainesville,5,Florida,30130,297,9.0,85,82,0
University of Florida- Gainesville,5,Florida,30130,315,6.5,71,95,1
University of Florida- Gainesville,5,Florida,30130,299,9.0,102,93,1
University of Florida- Gainesville,5,Florida,30130,299,7.0,97,72,1
University of Florida- Gainesville,5,Florida,30130,291,6.5,92,71,1
University of Florida- Gainesville,5,Florida,30130,291,5.5,95,94,1
University of Florida- Gainesville,5,Florida,30130,315,7.0,94,77,0
University of Florida- Gainesville,5,Florida,30130,323,5.5,104,87,1
University of Florida- Gainesville,5,Florida,30130,297,5.0,113,88,1
University of Florida- Gainesville,5,Florida,30130,291,8.5,106,65,1
University of Florida- Gainesville,5,Florida,30130,300,5.0,72,95,1
University of Florida- Gainesville,5,Florida,30130,307,5.5,75,68,0
University of Florida- Gainesville,5,Florida,30130,293,6.5,104,82,1
University of Florida- Gainesville,5,Florida,30130,297,8.5,78,65,0
University of Florida- Gainesville,5,Florida,30130,323,8.0,100,64,1
University of Florida- Gainesville,5,Florida,30130,302,7.0,91,65,0
University of Florida- Gainesville,5,Florida,30130,319,7.0,116,95,0
University of Florida- Gainesville,5,Florida,30130,308,7.0,73,61,0
University of Florida- Gainesville,5,Florida,30130,325,8.5,88,64,0
University of Florida- Gainesville,5,Florida,30130,307,7.5,110,75,1
University of Florida- Gainesville,5,Florida,30130,334,7.0,73,62,1
University of Florida- Gainesville,5,Florida,30130,338,7.5,102,84,1
University of Florida- Gainesville,5,Florida,30130,313,7.0,91,80,0
University of Florida- Gainesville,5,Florida,30130,323,6.0,81,60,0
University of Florida- Gainesville,5,Florida,30130,300,8.0,84,78,0
University of Florida- Gainesville,5,Florida,30130,294,5.0,88,73,1
University of Florida- Gainesville,5,Florida,30130,334,7.5,92,60,0
University of Florida- Gainesville,5,Florida,30130,304,7.0,112,77,0
Georgia Tech University,6,Georgia,42300,326,7.5,81,63,1
Georgia Tech University,6,Georgia,42300,316,9.0,75,88,0
Georgia Tech University,6,Georgia,42300,297,7.5,111,89,1
Georgia Tech University,6,Georgia,42300,324,9.0,118,83,0
Georgia Tech University,6,Georgia,42300,321,7.5,110,88,0
Georgia Tech University,6,Georgia,42300,314,8.0,85,64,0
Georgia Tech University,6,Georgia,42300,308,5.0,99,79,1
Georgia Tech University,6,Georgia,42300,335,5.5,83,91,0
Georgia Tech University,6,Georgia,42300,296,9.0,106,91,0
Georgia Tech University,6,Georgia,42300,309,6.5,73,80,1
Georgia Tech University,6,Georgia,42300,314,6.5,100,77,0
Georgia Tech University,6,Georgia,42300,299,8.0,73,89,1
Georgia Tech University,6,Georgia,42300,340,6.5,84,84,1
Georgia Tech University,6,Georgia,42300,334,6.0,119,72,1
Georgia Tech University,6,Georgia,42300,299,7.0,80,92,1
Georgia Tech University,6,Georgia,42300,320,5.0,109,83,0
Georgia Tech University,6,Georgia,42300,323,8.5,95,79,1
Georgia Tech University,6,Georgia,42300,317,7.5,88,73,1
Georgia Tech University,6,Georgia,42300,299,8.0,85,86,0
Georgia Tech University,6,Georgia,42300,298,8.0,80,76,0
Georgia Tech University,6,Georgia,42300,307,6.5,105,74,0
Georgia Tech University,6,Georgia,42300,336,5.0,85,76,0
Georgia Tech University,6,Georgia,42300,323,8.5,84,75,1
Georgia Tech University,6,Georgia,42300,305,8.5,104,76,1
Georgia Tech University,6,Georgia,42300,336,5.0,71,69,1
Georgia Tech University,6,Georgia,42300,314,8.5,88,83,0
Georgia Tech University,6,Georgia,42300,324,8.5,91,77,0
Georgia Tech University,6,Georgia,42300,291,8.0,81,88,0
Georgia Tech University,6,Georgia,42300,307,6.5,114,89,0
Georgia Tech University,6,Georgia,42300,310,8.5,93,87,1
Georgia Tech University,6,Georgia,42300,321,8.0,111,81,0
Georgia Tech University,6,Georgia,42300,297,8.0,86,72,1
Georgia Tech University,6,Georgia,42300,310,5.5,110,93,1
Georgia Tech University,6,Georgia,42300,304,7.5,87,87,1
Georgia Tech University,6,Georgia,42300,334,5.5,94,61,1
Georgia Tech University,6,Georgia,42300,315,9.0,89,71,0
Georgia Tech University,6,Georgia,42300,300,8.5,75,87,0
Georgia Tech University,6,Georgia,42300,316,9.0,74,75,0
Georgia Tech University,6,Georgia,42300,305,6.0,117,72,0
Georgia Tech University,6,Georgia,42300,320,5.0,104,89,0
Georgia Tech University,6,Georgia,42300,331,8.0,84,63,0
Georgia Tech University,6,Georgia,42300,323,6.5,112,62,0
Georgia Tech University,6,Georgia,42300,332,6.5,80,77,0
Georgia Tech University,6,Georgia,42300,332,7.0,117,79,0
Georgia Tech University,6,Georgia,42300,311,5.0,103,80,0
Georgia Tech University,6,Georgia,42300,312,6.5,111,93,0
Georgia Tech University,6,Georgia,42300,299,6.0,106,69,0
Georgia Tech University,6,Georgia,42300,301,5.5,118,91,1
Georgia Tech University,6,Georgia,42300,334,8.0,93,88,0
Georgia Tech University,6,Georgia,42300,329,7.5,73,84,0
Georgia Tech University,6,Georgia,42300,306,8.0,119,77,0
Georgia Tech University,6,Georgia,42300,339,6.0,81,76,1
Georgia Tech University,6,Georgia,42300,297,7.5,105,93,0
